key,value
siteName,HEI_tmp
studyFilename,input/Studies/HEI/HEI_tmp.xlsx
MCScenario,11
workType,simulation
inputRoot,input
outputRoot,output
scenarioTimestampFormat,%Y%m%d_%H%M%S
disableSimulation,False
disableGraph,False
disableSummary,False
simDurationDays,225.0
monteCarloIterations,18.0
studyDefinitionFile,HEI/HEI_tmp.xlsx
configFile,config/defaultConfig.json
studyName,HEI_tmp
factorName,input/CuratedData/FactorsFileReference/Factors.csv
emitterProfileDir,input/CuratedData
studyRoot,output/HEI_tmp
site,HEI_tmp
scenarioTimestamp,20240702_015912
simDurationSeconds,19440000
simulationRoot,output/HEI_tmp/MC_20240702_015912
simulationRootRE,MC_(?P<scenarioTimestamp>[0-9_]*)
templateDir,output/HEI_tmp/MC_20240702_015912/HEI_tmp/template
metadataFile,output/HEI_tmp/MC_20240702_015912/HEI_tmp/template/metadata.csv
equipmentFile,output/HEI_tmp/MC_20240702_015912/HEI_tmp/template/equipment.json
mdIndexFile,output/HEI_tmp/MC_20240702_015912/HEI_tmp/template/mdIndex.csv
parquetDir,output/HEI_tmp/MC_20240702_015912/parquet
parquetEventDS,output/HEI_tmp/MC_20240702_015912/parquet/events
parquetTimeseriesDS,output/HEI_tmp/MC_20240702_015912/parquet/timeseries
parquetGasCompositionDS,output/HEI_tmp/MC_20240702_015912/parquet/gascomposition
parquetMetadataDS,output/HEI_tmp/MC_20240702_015912/parquet/metadata
parquetSummaryDS,output/HEI_tmp/MC_20240702_015912/parquet/simsummary
parquetEventListDS,output/HEI_tmp/MC_20240702_015912/parquet/eventList
MCIteration,11
resultsRoot,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11
gcFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/gasCompositions.csv
tsFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/emissionTimeseries.csv
ffFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/fluidFlows.csv
eventFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/instantaneousEvents.csv
gasCompositionLogFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/gasCompositions.csv
emissionDriverFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/emissionDrivers.json
mdScenarioFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/metadata.csv
equipmentFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/equipment.json
stateSummaryFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/summaryState.csv
ffSummaryFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/summaryFluidFlow.csv
ffRollupFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/summaryFluidFlowRollup.csv
emitterSummaryFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/summaryEmission.csv
emissionSummaryFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/summaryEmissionCategory.csv
configFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/config.csv
secondaryInfoFilename,output/HEI_tmp/MC_20240702_015912/HEI_tmp/11/secondaryEventInfo.csv
modelTemplate,{inputRoot}/ModelFormulation/{modelID}
directoryRootTemplate,{inputRoot}/Studies/{directory}
relativeStudyFileTemplate,{directory}/{studyFilename}
graphTemplate,{resultsRoot}/graphs/{graphName}.html
parquetBaseTemplate,{parquetDir}/{dataset}
daskWorkerLog,{simulationRoot}/logs/worker_{workerPID}.log
siteEmissions,{simulationRoot}/{facilityID}.csv
ffDumpTemplate,{resultsRoot}/{facilityID}.csv
